rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
451.75,1706,1807,-28.203907012939453,0.7953304052352905,0.9508728384971619,-0.33584460616111755,81,4,-99.887769,22,2.9626731540803503e-05,,
273.5,2087,2188,-32.84966278076172,1.4258278608322144,0.9402744174003601,-0.40857481956481934,80,8,-102.600946125,27,2.9626731540803503e-05,,
589.0833333333334,6968,7069,-97.23178100585938,1.8952152729034424,0.8142094612121582,-1.319961667060852,78,12,-98.55701849999998,90,2.9626731540803503e-05,,
,9899,10000,-124.58145141601562,2.981902837753296,0.7467114329338074,-1.8672890663146973,,,,,2.9626731540803503e-05,-60.2229601893574,1003.2
