rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
839.0,3255,3356,-25.9688663482666,0.271220326423645,0.9529578685760498,-0.3219885230064392,79,4,-97.783838,42,1.4814925055068396e-05,,
840.375,6622,6723,-46.59660339355469,0.5287926197052002,0.9066997766494751,-0.652938961982727,78,8,-96.2916055,85,1.4814925055068396e-05,,
709.8333333333334,8417,8518,-58.69247055053711,40.42291259765625,0.8829282522201538,-0.822624921798706,78,12,-97.82004391666668,109,1.4814925055068396e-05,,
,9899,10000,-67.76666259765625,38.47019958496094,0.863738477230072,-0.9696530699729919,,,,,1.4814925055068396e-05,-57.319530302099885,1341.4
