rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
868.5,3373,3474,-26.469764709472656,1.0314068794250488,0.9594701528549194,-0.27725011110305786,78,4,-93.74037225,44,1.228474856387677e-05,,
660.625,5184,5285,-41.61722183227539,31.293787002563477,0.9384289383888245,-0.42326951026916504,77,8,-95.74591462500001,68,1.228474856387677e-05,,
464.3333333333333,5471,5572,-43.87725067138672,1.1108843088150024,0.9351341724395752,-0.44431400299072266,77,12,-98.00571166666667,72,1.228474856387677e-05,,
462.8125,7304,7405,-56.7209587097168,27.13426399230957,0.9143729209899902,-0.5909268260002136,77,16,-97.0868915625,96,1.228474856387677e-05,,
461.75,9134,9235,-68.99662017822266,29.072938919067383,0.8940520882606506,-0.7334496974945068,77,20,-99.12703710000001,119,1.228474856387677e-05,,
,9899,10000,-73.60614013671875,1.5989829301834106,0.8857018351554871,-0.8049238324165344,,,,,1.228474856387677e-05,-106.66636002566665,146.2
