time/total_timesteps,eval/mean_reward,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed
12000,-127.688732,11899,-2.842815399169922,0.0001965450924118268,-125.93276977539062,107.2,0.1293729990720749,29.212848663330078,,,,,
13000,-97.97548839999999,12899,-2.004042625427246,0.0001965450924118268,-119.54736328125,1600.0,0.11672016978263855,14.381393432617188,,,,,
13943,,13842,-2.088520050048828,0.0001965450924118268,-111.56163787841797,,0.09858617931604385,11.042101860046387,290.4791666666667,61,48,-116.74352177083334,225
14000,-104.7008196,13899,-2.0773684978485107,0.0001965450924118268,-112.12409973144531,81.0,0.09756779670715332,8.634100914001465,,,,,
14230,,14129,-1.2463070154190063,0.0001965450924118268,-110.49842834472656,,0.09347186237573624,12.399356842041016,273.65384615384613,62,52,-116.00573211538462,229
14528,,14427,-2.276848316192627,0.0001965450924118268,-101.82823181152344,,0.08970526605844498,8.737773895263672,259.42857142857144,62,56,-115.13410791071429,232
15000,-97.7478472,14899,0.6462265253067017,0.0001965450924118268,-91.9366683959961,1600.0,0.08560235798358917,16.855125427246094,,,,,
15665,,15564,0.12857261300086975,0.0001965450924118268,-81.15869140625,,0.08248444646596909,9.493387222290039,261.0833333333333,61,60,-115.70380925000002,254
16000,-115.8486834,15899,-0.7846861481666565,0.0001965450924118268,-86.9764175415039,84.6,0.08201447874307632,8.142937660217285,,,,,
17000,-76.79411719999999,16899,-1.484275460243225,0.0001965450924118268,-79.97840881347656,1377.4,0.07222143560647964,7.252078056335449,,,,,
17707,,17606,-2.4890801906585693,0.0001965450924118268,-79.24969482421875,,0.0639648512005806,7.933525562286377,276.671875,62,64,-117.359699140625,284
18000,-70.1718976,17899,-0.41513776779174805,0.0001965450924118268,-72.49729919433594,1464.4,0.060978200286626816,7.519169807434082,,,,,
19000,-148.5119582,18899,-0.5036627650260925,0.0001965450924118268,-58.49008560180664,1305.8,0.0528515987098217,7.219665050506592,,,,,
20000,-110.98968299999999,19899,0.011104494333267212,0.0001965450924118268,-49.26933288574219,83.4,0.052347443997859955,6.1055097579956055,,,,,
20153,,20052,-0.32999029755592346,0.0001965450924118268,-48.397979736328125,,0.05180777236819267,6.604578018188477,296.36764705882354,61,68,-118.90672732352941,327
21000,-88.73646079999999,20899,0.6107850670814514,0.0001965450924118268,-35.84365463256836,432.4,0.04719862714409828,5.568758010864258,,,,,
21041,,20940,-0.2928917407989502,0.0001965450924118268,-38.0922966003418,,0.047171931713819504,6.017826080322266,292.2361111111111,61,72,-118.33300193055555,342
22000,-96.8391866,21899,-0.7706499099731445,0.0001965450924118268,-23.715736389160156,433.8,0.041917987167835236,6.814490795135498,,,,,
23000,-117.9284398,22899,-1.0407536029815674,0.0001965450924118268,-21.80411148071289,1316.2,0.03368992730975151,3.7053029537200928,,,,,
23880,,23779,-1.719660758972168,0.0001965450924118268,-19.380027770996094,,0.03003188967704773,16.723316192626953,314.2105263157895,61,76,-118.54651153947371,387
24000,-98.78270979999999,23899,-1.606744408607483,0.0001965450924118268,-18.087387084960938,718.8,0.029550768435001373,4.010558128356934,,,,,
25000,-98.49228659999999,24899,-0.950192928314209,0.0001965450924118268,-17.307371139526367,698.4,0.02785179205238819,2.610346794128418,,,,,
26000,-74.94179,25899,1.3461403846740723,0.0001965450924118268,-14.834896087646484,1600.0,0.029499072581529617,3.3648595809936523,,,,,
