rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
841.5,3265,3366,-56.89408874511719,0.25246453285217285,0.8840289115905762,-0.8262068033218384,80,4,-95.334924,41,3.776649132895651e-05,,
843.875,6650,6751,-100.40342712402344,0.7552722096443176,0.7781029939651489,-1.6783322095870972,79,8,-96.060806875,85,3.776649132895651e-05,,
,9899,10000,-132.4896240234375,1.2291202545166016,0.6884713172912598,-2.4977879524230957,,,,,3.776649132895651e-05,-97.29842880126088,358.6
