rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
842.5,3269,3370,-23.639331817626953,0.10574997961521149,0.7795976996421814,-1.675612449645996,79,4,-91.87517375,42,7.62130671597737e-05,,
651.0,5107,5208,-32.70524978637695,0.4495893716812134,0.6779108643531799,-2.590087413787842,78,8,-95.44547012500001,66,7.62130671597737e-05,,
,9899,10000,-48.11595153808594,0.5194399952888489,0.47107449173927307,-4.957819938659668,,,,,7.62130671597737e-05,-15.881008684134576,1600.0
839.25,9970,10071,-48.63191223144531,0.5035805702209473,0.4685395359992981,-4.995570182800293,72,12,-94.10322258333333,138,7.62130671597737e-05,,
842.1875,13374,13475,-54.7766227722168,0.5641472339630127,0.3618217706680298,-6.560727119445801,73,16,-96.76381387500001,182,7.62130671597737e-05,,
842.2,16743,16844,-58.15105438232422,0.8975311517715454,0.28049954771995544,-7.959445476531982,74,20,-95.31518030000002,227,7.62130671597737e-05,,
778.75,18589,18690,-58.92721939086914,1.029701828956604,0.24434779584407806,-8.426708221435547,74,24,-94.667600875,251,7.62130671597737e-05,,
,19899,20000,-59.456764221191406,1.1138410568237305,0.22148413956165314,-9.004518508911133,,,,,7.62130671597737e-05,-95.35513728302904,410.4
786.4285714285714,21919,22020,-59.820556640625,1.3188447952270508,0.1903553307056427,-9.505083084106445,74,28,-93.45524125,296,7.62130671597737e-05,,
745.15625,23744,23845,-59.146766662597656,1.239316463470459,0.16592781245708466,-10.056442260742188,74,32,-93.2361386875,320,7.62130671597737e-05,,
797.5833333333334,28612,28713,-57.33281707763672,0.9183119535446167,0.11517082154750824,-11.23965072631836,74,36,-90.96311163888888,383,7.62130671597737e-05,,
,29899,30000,-56.48075866699219,0.9123052358627319,0.10454040765762329,-11.76234245300293,,,,,7.62130671597737e-05,-59.08473714548163,1600.0
804.0,32059,32160,-54.730892181396484,1.2656593322753906,0.08880931884050369,-12.309761047363281,73,40,-93.267150125,437,7.62130671597737e-05,,
876.3636363636364,38459,38560,-50.70729446411133,0.4784097671508789,0.054901886731386185,-13.404208183288574,73,44,-90.655627,521,7.62130671597737e-05,,
,39899,40000,-49.724143981933594,0.46770375967025757,0.04925801232457161,-12.833767890930176,,,,,7.62130671597737e-05,-52.29276009062305,1321.2
905.7291666666666,43374,43475,-47.823429107666016,0.3190051317214966,0.03788832575082779,-14.224528312683105,73,48,-88.98545160416666,593,7.62130671597737e-05,,
889.4423076923077,46150,46251,-45.747901916503906,0.5128395557403564,0.030820442363619804,-13.85743522644043,73,52,-92.14568023076922,630,7.62130671597737e-05,,
859.5178571428571,48032,48133,-43.327247619628906,0.6603238582611084,0.026959789916872978,-12.987833023071289,73,56,-95.81640941071429,654,7.62130671597737e-05,,
,49899,50000,-42.41128921508789,0.39116421341896057,0.023625142872333527,-11.634319305419922,,,,,7.62130671597737e-05,-44.29222159408964,1600.0
