rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
215.75,762,863,-24.802772521972656,1.4037790298461914,0.959976315498352,-0.2681371569633484,85,4,-118.37207924999998,10,5.3945457639830084e-05,,
228.625,1728,1829,-40.75358200073242,54.68183898925781,0.9122962951660156,-0.5913508534431458,80,8,-122.38134537500001,22,5.3945457639830084e-05,,
224.5,2593,2694,-60.20112609863281,106.09295654296875,0.8711984753608704,-0.8506512641906738,79,12,-118.12010641666667,33,5.3945457639830084e-05,,
190.8125,2952,3053,-64.25640869140625,115.7462387084961,0.8548122048377991,-0.9521384239196777,79,16,-115.519556875,38,5.3945457639830084e-05,,
165.95,3218,3319,-65.60121154785156,9.383020401000977,0.8429477214813232,-1.035790205001831,79,20,-114.69340705000002,41,5.3945457639830084e-05,,
154.58333333333334,3609,3710,-64.92642211914062,83.79412078857422,0.8258850574493408,-1.155798316001892,79,24,-115.13010408333332,46,5.3945457639830084e-05,,
144.78571428571428,3953,4054,-63.725868225097656,103.4471664428711,0.8111247420310974,-1.2463712692260742,78,28,-115.43770303571428,51,5.3945457639830084e-05,,
158.4375,4969,5070,-58.541656494140625,31.73487091064453,0.768600583076477,-1.6304140090942383,78,32,-117.20189846875,64,5.3945457639830084e-05,,
152.83333333333334,5401,5502,-53.22188949584961,70.00177001953125,0.7509885430335999,-1.6833758354187012,78,36,-117.17944286111111,69,5.3945457639830084e-05,,
145.725,5728,5829,-49.977516174316406,25.55876922607422,0.7378722429275513,-1.832531452178955,78,40,-116.621222425,74,5.3945457639830084e-05,,
174.6590909090909,7584,7685,-45.74296951293945,10.18402099609375,0.6675325036048889,-2.41237473487854,78,44,-118.46036875,98,5.3945457639830084e-05,,
200.20833333333334,9509,9610,-42.55188751220703,8.814069747924805,0.6021586656570435,-3.106595039367676,77,48,-120.12068649999999,123,5.3945457639830084e-05,,
,9899,10000,-40.04011535644531,15.01699447631836,0.5896527767181396,-3.1227381229400635,,,,,5.3945457639830084e-05,-86.18188341637142,403.2
