rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
846.25,3284,3385,-26.518688201904297,0.5506261587142944,0.9539719820022583,-0.3157898187637329,79,4,-94.3406755,42,1.4361467778717888e-05,,
641.25,5029,5130,-41.72486114501953,0.5214508771896362,0.9303998947143555,-0.4808119833469391,78,8,-99.862037125,65,1.4361467778717888e-05,,
704.5,8353,8454,-65.81529998779297,0.6475613117218018,0.8870760202407837,-0.7964552640914917,78,12,-100.88141441666669,107,1.4361467778717888e-05,,
552.25,8735,8836,-68.61688995361328,0.7341804504394531,0.8822305202484131,-0.8358378410339355,78,16,-100.902235375,112,1.4361467778717888e-05,,
457.05,9040,9141,-70.11868286132812,0.8289475440979004,0.8783801794052124,-0.8618122935295105,78,20,-102.53530965,116,1.4361467778717888e-05,,
,9899,10000,-73.17703247070312,1.2878936529159546,0.867621123790741,-0.947059154510498,,,,,1.4361467778717888e-05,-95.58891615774482,78.4
