rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
850.25,3300,3401,-16.59408187866211,0.2702977657318115,0.9158087372779846,-0.5878390073776245,80,4,-98.732269,42,2.6664936325616488e-05,,
1034.625,8176,8277,-36.039398193359375,0.2157217264175415,0.8042019009590149,-1.4631681442260742,78,8,-95.23250437499999,104,2.6664936325616488e-05,,
,9899,10000,-42.219818115234375,0.17748039960861206,0.7680908441543579,-1.7771745920181274,,,,,2.6664936325616488e-05,-57.480561503814535,690.0
