rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
465.0,1759,1860,-15.302188873291016,0.1749822050333023,0.9377491474151611,-0.4330866038799286,82,4,-106.5054265,22,3.655463176488207e-05,,
460.875,3586,3687,-23.354995727539062,15.16647720336914,0.8775179982185364,-0.8605692386627197,80,8,-105.0523565,45,3.655463176488207e-05,,
343.25,4018,4119,-25.430877685546875,29.736391067504883,0.8638680577278137,-0.9626065492630005,79,12,-106.73820775,51,3.655463176488207e-05,,
279.6875,4374,4475,-27.37666893005371,14.854368209838867,0.8527724146842957,-1.0417498350143433,79,16,-106.9611063125,56,3.655463176488207e-05,,
313.95,6178,6279,-36.557029724121094,9.502948760986328,0.79886794090271,-1.422109603881836,78,20,-105.4877894,79,3.655463176488207e-05,,
271.9583333333333,6426,6527,-37.01530456542969,5.1394147872924805,0.7917277812957764,-1.4926035404205322,78,24,-105.39496766666667,82,3.655463176488207e-05,,
244.57142857142858,6747,6848,-38.857940673828125,9.151060104370117,0.7825653553009033,-1.5664105415344238,78,28,-105.6379735357143,86,3.655463176488207e-05,,
271.71875,8594,8695,-44.810848236083984,7.21650505065918,0.731927216053009,-1.951892614364624,78,32,-105.59535471875,110,3.655463176488207e-05,,
,9899,10000,-49.548728942871094,10.991965293884277,0.6979767680168152,-2.2882325649261475,,,,,3.655463176488207e-05,-100.84322908758186,61.8
