rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
462.0,1747,1848,-16.8677978515625,0.6050410270690918,0.9744627475738525,-0.17397698760032654,82,4,-105.2430985,22,1.4831417688041126e-05,,
457.375,3558,3659,-29.128408432006836,48.38603591918945,0.9486808776855469,-0.35177862644195557,80,8,-102.182384375,45,1.4831417688041126e-05,,
387.8333333333333,4553,4654,-35.255760192871094,93.36321258544922,0.934824526309967,-0.44715720415115356,80,12,-107.59630283333333,58,1.4831417688041126e-05,,
485.875,7673,7774,-57.37042236328125,1.4751336574554443,0.8926796317100525,-0.746821403503418,79,16,-111.16168725,98,1.4831417688041126e-05,,
,9899,10000,-70.44168090820312,1.9844639301300049,0.8637971878051758,-0.9548590183258057,,,,,1.4831417688041126e-05,-23.67211054682266,1600.0
558.6,11071,11172,-78.23944091796875,1.561824083328247,0.8489234447479248,-1.0580484867095947,74,20,-106.8425531,150,1.4831417688041126e-05,,
668.0,15931,16032,-102.81591796875,19.608489990234375,0.7899400591850281,-1.5463144779205322,75,24,-102.28571758333334,213,1.4831417688041126e-05,,
,19899,20000,-123.61087036132812,3.067469596862793,0.7448722720146179,-1.906400442123413,,,,,1.4831417688041126e-05,-12.171072058402933,1600.0
801.1428571428571,22331,22432,-134.63357543945312,2.819556951522827,0.718559741973877,-2.1426525115966797,73,28,-99.45482707142857,305,1.4831417688041126e-05,,
852.84375,27190,27291,-156.01998901367188,4.22401237487793,0.6687284708023071,-2.541256904602051,74,32,-99.70012434374999,368,1.4831417688041126e-05,,
,29899,30000,-163.8223876953125,3.583686590194702,0.6424608826637268,-2.7793025970458984,,,,,1.4831417688041126e-05,-22.334391763911118,1600.0
935.8611111111111,33590,33691,-172.82073974609375,3.6011290550231934,0.6083233952522278,-3.016068935394287,73,36,-98.3895011111111,460,1.4831417688041126e-05,,
963.625,38444,38545,-183.56167602539062,3.765960454940796,0.5661974549293518,-3.4748268127441406,73,40,-96.845542575,522,1.4831417688041126e-05,,
,39899,40000,-186.3238983154297,4.571882247924805,0.5541314482688904,-3.6509549617767334,,,,,1.4831417688041126e-05,-42.15570982531644,1600.0
1021.4772727272727,44844,44945,-192.65025329589844,4.389484405517578,0.5150449872016907,-3.974726438522339,73,44,-94.40584856818182,614,1.4831417688041126e-05,,
,49899,50000,-197.0220489501953,3.98457670211792,0.4779309630393982,-4.38492488861084,,,,,1.4831417688041126e-05,-43.62400566523429,1600.0
