#{"t_start": 1772226921.699562, "env_id": "BipedalWalker-v3"}
r,l,t
271.711249,1262,2745.161034
274.507545,1183,2765.853797
279.174682,1099,2785.671882
276.913909,1155,2811.840192
276.575594,1142,2831.839765
275.246431,1142,2850.720336
276.695517,1148,2869.773762
278.659141,1082,2888.951542
279.112076,1096,2908.777127
279.356216,1107,2926.53656
278.798362,1134,2944.656137
281.995302,1058,2964.148351
280.426146,1069,2988.71672
277.272214,1120,3007.766465
285.490485,1057,3026.787301
285.478405,1057,3044.699557
277.777669,1197,3064.416736
279.806132,1128,3083.697757
281.773906,1111,3102.583994
282.339025,1135,3121.653492
-87.920328,105,3122.996953
-107.315514,104,3129.900019
282.862098,1101,3148.988001
281.119015,1143,3169.422877
283.769101,1088,3188.332094
170.290069,987,3205.463744
-89.564658,123,3207.040219
285.691666,1050,3225.786836
283.443309,1159,3244.848876
286.777609,1056,3261.37718
-103.609706,101,3262.886946
289.634606,1096,3282.350358
290.339311,1041,3297.414473
288.433545,1071,3320.63951
292.463121,1019,3338.081298
290.632895,1065,3356.081681
290.409224,1019,3371.199907
289.456341,1030,3388.950233
290.647975,1000,3406.336526
288.43127,1082,3424.557562
290.962129,1043,3442.499775
286.946642,1081,3460.574824
292.003881,1002,3478.679677
290.792656,1078,3499.141426
292.95068,981,3515.642635
294.234071,995,3532.943246
294.549737,958,3550.132358
293.431746,1028,3569.374645
290.718948,1059,3588.490839
289.278353,1058,3605.717011
293.292981,1066,3623.090668
293.161367,1016,3638.629183
296.124574,1000,3656.699923
294.847829,961,3673.87179
292.691867,986,3690.523302
294.112103,970,3705.309807
296.794354,960,3721.282111
295.254696,933,3737.145375
291.526412,999,3754.785851
295.93464,962,3771.315511
295.41727,925,3786.862305
294.509946,930,3802.73011
295.569322,948,3818.636045
46.53781,503,3824.73431
296.91337,982,3841.154631
295.71435,920,3856.680372
54.145749,548,3867.961157
293.401791,1001,3884.465668
295.434703,966,3901.598789
294.437547,978,3919.126332
294.486479,1034,3936.714175
296.94998,941,3953.338528
294.804354,1008,3973.29391
296.801576,976,3991.964968
297.098646,940,4005.058369
298.067324,960,4023.119128
294.715081,969,4041.308632
298.957408,896,4058.501595
296.599965,974,4077.276726
297.501164,947,4095.965846
299.456096,963,4114.806755
185.950679,974,4134.017482
298.299506,969,4152.279998
297.975982,975,4170.35698
296.627663,964,4187.061007
296.107426,994,4204.47738
298.275597,943,4222.276268
298.930373,988,4240.528453
298.902495,960,4257.659831
300.38858,937,4275.023949
295.446726,1015,4294.055453
295.302828,999,4312.100423
298.3174,977,4329.972294
296.241626,959,4347.972428
92.084925,634,4356.146328
296.761222,941,4373.497359
296.035279,968,4390.814935
297.980519,937,4407.931545
296.065669,935,4425.231707
297.945837,977,4443.451098
295.237542,1003,4460.647871
295.532343,958,4477.869646
295.765502,932,4494.568973
296.35815,975,4512.173114
295.096209,975,4528.563862
292.816594,1010,4546.47395
297.216051,950,4563.44316
297.700652,931,4580.227652
294.219415,955,4597.424739
294.430369,1023,4614.905044
296.637616,938,4631.809156
297.296587,930,4649.189569
294.522825,1004,4666.597081
295.415631,961,4684.616713
297.716152,966,4702.132462
297.419729,965,4719.452732
295.212616,981,4736.78449
295.014007,938,4753.01786
45.549548,492,4759.432778
294.121332,1013,4776.996298
296.367103,990,4795.641384
295.54067,966,4814.810756
296.237982,976,4832.566045
294.158475,932,4850.927515
297.618825,943,4868.039737
296.515081,956,4884.695323
297.420898,941,4901.746181
295.302861,976,4919.292866
296.345463,981,4936.828975
296.025345,957,4954.086673
297.471572,940,4971.48795
300.095545,922,4987.560665
296.637077,909,5003.586311
297.853941,951,5015.490758
299.195281,939,5031.912347
296.520209,947,5048.769527
298.046962,971,5065.796014
299.324221,918,5082.542848
298.859903,925,5099.01842
300.432853,908,5115.152397
299.906299,928,5132.161282
299.957812,915,5148.590844
299.551697,928,5165.063041
300.358216,919,5181.814243
302.193858,929,5198.373895
23.123155,455,5204.192175
301.758911,947,5220.694557
121.15949,690,5234.461254
300.448741,927,5251.66688
303.555957,932,5269.5277
302.514983,976,5287.363536
60.822713,522,5294.54755
303.290123,957,5312.160029
304.131655,955,5329.985649
303.243688,992,5347.323534
305.430901,898,5363.551347
304.512013,927,5379.920616
304.893001,884,5395.895817
303.458154,928,5413.123693
304.10804,932,5429.577341
305.295262,942,5446.443211
305.76025,903,5457.790545
303.798607,905,5473.719655
303.805285,925,5489.959344
304.08316,899,5505.878816
-99.278532,112,5507.304478
302.939461,888,5523.274459
302.269819,922,5540.083353
301.717075,944,5557.965292
303.78531,899,5575.712811
186.389771,885,5592.439836
305.635048,898,5608.714312
305.572764,914,5625.855044
307.16063,908,5643.828547
305.030391,900,5656.579812
307.575751,925,5673.979883
307.233885,965,5693.471369
305.285362,937,5711.312516
306.105615,962,5729.082535
305.501443,918,5746.86234
307.028314,930,5764.139853
306.375957,918,5781.242856
306.081976,899,5797.605448
308.794762,905,5811.490641
305.351153,950,5829.467416
306.78788,938,5844.043422
147.819363,792,5859.86931
307.889182,931,5873.190632
306.050448,909,5890.823181
306.734496,939,5908.201712
305.125711,936,5925.812608
308.149771,975,5943.53967
306.44476,925,5961.281098
306.895739,928,5978.778763
305.518492,909,5993.111807
105.132387,648,6005.422961
308.298299,904,6021.473809
117.569128,668,6030.025221
171.702065,789,6045.146157
306.301003,863,6059.124918
308.330821,877,6075.060584
308.092764,889,6090.85336
305.38569,898,6106.582378
-102.932491,47,6107.176864
305.726381,893,6118.405659
306.685289,878,6133.700306
305.879485,876,6148.745511
308.20654,878,6163.634255
307.838094,872,6179.204453
307.785586,878,6194.578857
183.178942,849,6209.169611
307.861852,895,6225.008253
305.209463,908,6236.459235
307.139993,864,6251.749332
306.101069,902,6267.631311
306.812203,892,6283.292298
304.865807,865,6298.777241
305.590841,868,6314.363505
306.341837,881,6329.789928
306.078749,892,6346.08452
306.817945,892,6361.951801
306.078988,926,6373.637284
297.137363,1031,6391.084411
307.466896,888,6406.999075
308.978461,915,6422.892528
307.86964,882,6438.556394
306.846973,896,6454.039017
306.603518,922,6471.476781
303.932182,894,6488.284884
307.992569,905,6504.664685
307.318228,873,6519.635183
306.878165,878,6535.087432
308.055889,886,6546.194854
309.342381,874,6561.483249
308.541585,874,6577.06697
307.528557,891,6592.714453
306.587739,877,6607.702624
308.040802,875,6623.186072
310.869566,880,6638.651465
306.551228,886,6653.723146
308.388117,880,6664.749818
307.139038,871,6680.071604
307.335211,877,6695.904634
4.358685,333,6704.692292
308.941342,883,6715.796363
307.403658,865,6731.099987
309.244648,879,6746.650238
307.058372,869,6762.054517
308.594911,893,6777.734714
307.945662,886,6793.083956
309.079171,899,6808.828377
308.637832,882,6824.935363
308.087913,883,6837.175418
309.288123,874,6852.781529
307.378059,874,6868.77052
307.02949,930,6884.904502
308.993715,887,6901.494479
309.393815,927,6919.920256
306.192875,961,6936.450661
312.572678,881,6952.872614
-51.146137,233,6955.937864
310.856683,883,6973.416096
309.64235,903,6989.144588
311.105572,855,7004.125056
311.816415,868,7019.898502
309.954345,883,7031.276547
311.015312,882,7046.951601
307.961913,887,7062.922628
172.318754,813,7077.720985
2.912843,341,7082.036899
311.258887,865,7098.363749
306.55975,867,7113.960558
308.507562,840,7129.423484
308.626229,886,7145.332502
309.470904,860,7161.132614
-89.370189,101,7162.556821
308.183875,878,7177.797296
311.06849,862,7192.775416
309.154623,867,7203.641898
308.462488,881,7219.622367
308.87481,846,7234.795415
311.72888,864,7250.361463
311.113441,846,7265.42024
180.015886,800,7280.232545
308.633101,857,7291.015871
311.023044,911,7306.97302
311.606593,879,7322.668694
312.713059,850,7337.250129
312.873108,871,7352.717499
309.079545,877,7368.553519
311.679389,868,7384.042347
311.232325,857,7399.032602
308.054577,903,7414.9742
309.906072,873,7426.160572
87.793186,544,7437.558479
310.893482,865,7453.227977
312.712041,853,7468.801659
310.48365,869,7484.250773
310.892237,853,7494.905077
308.857398,870,7509.252332
311.620829,866,7523.849273
311.551604,856,7538.154233
312.268113,856,7552.482754
311.722115,862,7567.431416
85.352123,1600,7591.356317
310.297875,856,7605.656168
311.292793,859,7622.81999
312.07722,848,7640.617414
313.21462,836,7656.579926
312.427703,853,7673.957792
309.175456,878,7687.947346
311.650435,838,7704.84903
311.045622,861,7721.407995
312.414516,844,7736.112084
312.673137,850,7750.896017
314.91506,841,7765.912729
157.294608,727,7776.358967
313.127727,860,7792.991971
312.099764,841,7810.467681
311.716877,860,7827.747389
314.029165,829,7844.514399
311.196374,862,7860.012138
313.867973,851,7871.332804
312.897869,861,7888.784812
312.783967,856,7906.142221
314.247122,847,7923.621583
311.577197,855,7940.308249
313.849142,843,7957.079376
313.338218,831,7973.31362
312.77291,849,7986.131529
315.10407,845,8003.064917
314.456364,869,8020.990324
312.459272,836,8038.153599
314.92161,830,8054.550915
315.058602,828,8070.750806
314.335793,856,8083.193097
317.207894,822,8099.713539
315.047006,863,8116.288356
313.166648,849,8132.602078
313.297027,851,8148.256025
311.749139,879,8163.839424
313.687867,862,8177.325258
312.484281,889,8189.100426
-126.204391,1600,8223.537813
305.72317,921,8237.00629
312.756039,888,8249.063262
314.649433,871,8260.869324
312.515667,853,8271.812452
312.067499,901,8286.630917
314.444991,870,8297.565266
313.671715,836,8311.887288
313.940785,852,8326.040092
313.011473,857,8340.508468
311.095951,859,8354.615205
312.969594,867,8369.033827
316.610167,871,8383.379976
311.007205,869,8393.760058
313.002774,873,8408.585182
312.159349,858,8423.229844
309.592148,872,8437.948202
313.237298,866,8453.029208
313.220355,875,8467.911856
312.693101,908,8483.002576
313.891925,867,8497.505812
314.366648,873,8507.948357
311.407868,892,8522.607847
311.942672,862,8536.504587
311.240322,866,8550.839878
310.140484,891,8565.625321
310.539052,874,8580.220176
312.831314,881,8594.858165
311.789713,878,8608.700414
308.265198,877,8619.221285
312.23749,855,8633.466733
171.672714,826,8647.330591
313.446025,879,8661.778048
310.856983,881,8676.475373
311.91618,869,8690.915877
312.731599,870,8705.333449
312.112085,879,8715.885703
313.352632,845,8730.178008
312.022877,875,8744.960319
310.456597,864,8759.42302
313.598868,880,8772.569887
311.01405,854,8788.220852
313.650641,880,8805.453519
133.78834,681,8815.665458
307.636869,873,8833.067731
312.40182,869,8848.835357
