rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
841.25,3264,3365,-20.539508819580078,0.07524417340755463,0.7453480362892151,-1.9835381507873535,77,4,-101.60565725000001,43,9.007518853636833e-05,,
843.125,6644,6745,-32.9791259765625,7.232927322387695,0.5503516793251038,-3.9445338249206543,77,8,-97.46835675,87,9.007518853636833e-05,,
,9899,10000,-40.59440612792969,0.5224530696868896,0.41087549924850464,-5.914594650268555,,,,,9.007518853636833e-05,-54.988857788965106,984.6
