rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
462.75,1750,1851,-17.542144775390625,23.058610916137695,0.9253146052360535,-0.5225644707679749,81,4,-104.53563525000001,22,4.4375342868932784e-05,,
839.625,6616,6717,-44.494781494140625,0.6792182922363281,0.7463542819023132,-1.9359238147735596,78,8,-101.754521125,85,4.4375342868932784e-05,,
,9899,10000,-59.81791305541992,0.5875412821769714,0.645051121711731,-2.8925442695617676,,,,,4.4375342868932784e-05,-35.920124915643825,1600.0
965.25,11482,11583,-65.48408508300781,1.107568621635437,0.601306140422821,-3.347382068634033,73,12,-97.84150375000002,156,4.4375342868932784e-05,,
1123.9375,17882,17983,-77.63536071777344,0.7353476285934448,0.4528082311153412,-5.150849342346191,75,16,-95.0445130625,239,4.4375342868932784e-05,,
,19899,20000,-79.6904296875,0.7657904624938965,0.41416963934898376,-5.715189456939697,,,,,4.4375342868932784e-05,-54.99301816597581,1600.0
1219.15,24282,24383,-80.42034912109375,0.7778348922729492,0.3412025570869446,-6.776077747344971,73,20,-92.41817065000001,330,4.4375342868932784e-05,,
1217.9166666666667,29129,29230,-78.17047119140625,0.575061559677124,0.27533048391342163,-8.116199493408203,74,24,-92.41564558333334,392,4.4375342868932784e-05,,
,29899,30000,-78.00822448730469,0.5180554389953613,0.26609474420547485,-8.366374969482422,,,,,4.4375342868932784e-05,-33.20413451669738,1600.0
1217.1785714285713,33980,34081,-74.10746002197266,0.5515033006668091,0.22216194868087769,-9.472250938415527,73,28,-91.83565903571427,463,4.4375342868932784e-05,,
,39899,40000,-66.53761291503906,0.31679338216781616,0.17081815004348755,-11.029916763305664,,,,,4.4375342868932784e-05,-42.961291978508235,1600.0
1265.03125,40380,40481,-65.35205841064453,0.3636589050292969,0.16720513999462128,-11.133561134338379,72,32,-91.6006535,555,4.4375342868932784e-05,,
1175.8055555555557,42228,42329,-62.933746337890625,0.5030767917633057,0.15410996973514557,-11.02625846862793,73,36,-93.72405777777777,579,4.4375342868932784e-05,,
1112.25,44389,44490,-59.80510330200195,0.722669780254364,0.14029552042484283,-11.017877578735352,73,40,-95.51344725,607,4.4375342868932784e-05,,
,49899,50000,-52.90348815917969,0.24689075350761414,0.10975074023008347,-13.417055130004883,,,,,4.4375342868932784e-05,-89.39436929095537,705.0
