rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
857.75,3330,3431,-26.667316436767578,0.3025030791759491,0.8700975179672241,-0.9371596574783325,80,4,-98.5270835,42,4.180730957614778e-05,,
1035.625,8184,8285,-52.81513977050781,0.3536091446876526,0.7104618549346924,-2.284433364868164,79,8,-97.9187675,104,4.180730957614778e-05,,
,9899,10000,-58.969627380371094,0.7665632963180542,0.6613960862159729,-2.7500522136688232,,,,,4.180730957614778e-05,-97.32183955153451,81.8
