rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
101.25,304,405,-3.163151979446411,103.55229949951172,0.9969468116760254,-0.020545221865177155,100,4,-109.11158200000001,4,1.0073679967031286e-05,,
664.875,5218,5319,-47.79383087158203,1.126867651939392,0.9488310813903809,-0.3494284152984619,78,8,-104.37357374999999,67,1.0073679967031286e-05,,
721.25,8554,8655,-75.27012634277344,83.94828796386719,0.917576014995575,-0.5686737298965454,78,12,-103.580935,110,1.0073679967031286e-05,,
,9899,10000,-83.97447204589844,46.884033203125,0.905289888381958,-0.6542624831199646,,,,,1.0073679967031286e-05,-45.23844368732534,1600.0
