rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
449.5,1697,1798,-10.996142387390137,0.1474260687828064,0.020239444449543953,-7.784878730773926,83,4,-100.91581275,21,0.0023955311100893792,,
256.625,1952,2053,-9.888579368591309,1.1278668642044067,0.01527885627001524,-14.46623706817627,82,8,-105.128351375,24,0.0023955311100893792,,
210.41666666666666,2424,2525,-8.477689743041992,5.807787895202637,0.011479470878839493,-8.10128402709961,81,12,-106.76012766666666,30,0.0023955311100893792,,
177.5,2739,2840,-7.844491004943848,0.5321112871170044,0.00869273766875267,-10.019824981689453,81,16,-106.0178051875,34,0.0023955311100893792,,
154.8,2995,3096,-4.172686576843262,1.0381511449813843,0.0069723124615848064,-7.7997636795043945,81,20,-105.53790515,38,0.0023955311100893792,,
148.16666666666666,3455,3556,4.558351039886475,0.5013169050216675,0.006607433781027794,13.012861251831055,81,24,-104.12851704166667,43,0.0023955311100893792,,
142.07142857142858,3877,3978,3.452908992767334,1.071610450744629,0.007950804196298122,2.3178415298461914,80,28,-104.61691989285715,49,0.0023955311100893792,,
134.8125,4213,4314,3.1777091026306152,0.6676172018051147,0.009028760716319084,0.33567047119140625,80,32,-104.2751074375,53,0.0023955311100893792,,
155.36111111111111,5492,5593,9.139975547790527,1.2557079792022705,0.009129269979894161,2.11307954788208,80,36,-104.86126466666666,69,0.0023955311100893792,,
187.55,7401,7502,1.1237223148345947,0.6630721092224121,0.0061330427415668964,-2.946380615234375,79,40,-104.19471730000001,94,0.0023955311100893792,,
179.0909090909091,7779,7880,7.320246696472168,3.319200277328491,0.005989626049995422,3.05686616897583,79,44,-105.12186231818181,98,0.0023955311100893792,,
201.58333333333334,9575,9676,5.86493444442749,0.5133715867996216,0.007759205996990204,1.036571979522705,79,48,-105.12840297916667,121,0.0023955311100893792,,
,9899,10000,6.239978313446045,0.5525484681129456,0.007627605460584164,3.3939719200134277,,,,,0.0023955311100893792,-133.12164245649473,1009.0
288.71153846153845,14912,15013,5.309691429138184,0.4732571244239807,0.003644645446911454,-3.2173328399658203,76,52,-108.72755178846154,195,0.0023955311100893792,,
285.64285714285717,15895,15996,6.142311096191406,0.6460821628570557,0.0032302720937877893,-0.3689170479774475,76,56,-109.52068925,208,0.0023955311100893792,,
320.03333333333336,19101,19202,5.501564979553223,0.3543446362018585,0.005292373709380627,-3.833505630493164,76,60,-110.4729289,250,0.0023955311100893792,,
,19899,20000,4.5805206298828125,0.4560422897338867,0.005211471114307642,-3.837801933288574,,,,,0.0023955311100893792,-100.85382746672258,127.6
375.875,23955,24056,5.721967697143555,0.823208749294281,0.0038971821777522564,3.5144801139831543,76,64,-108.99515851562501,313,0.0023955311100893792,,
424.1617647058824,28742,28843,3.4890685081481934,0.40494847297668457,0.0033118133433163166,-5.268733024597168,77,68,-108.53423207352942,373,0.0023955311100893792,,
,29899,30000,6.13569450378418,0.2677954137325287,0.003286226885393262,1.0491429567337036,,,,,0.0023955311100893792,-52.16758620676264,1600.0
438.1666666666667,31447,31548,3.949810266494751,0.2348409742116928,0.002959816250950098,-5.448596477508545,75,72,-107.95571913888888,416,0.0023955311100893792,,
475.2631578947368,36019,36120,5.9170637130737305,0.42304372787475586,0.0030546491034328938,3.638005256652832,76,76,-108.52214531578947,474,0.0023955311100893792,,
,39899,40000,3.6216912269592285,0.29616278409957886,0.006790443789213896,-2.5429532527923584,,,,,0.0023955311100893792,-117.1219175586477,65.0
512.3,40883,40984,2.807114362716675,0.20484787225723267,0.00577580276876688,2.765096664428711,76,80,-108.11493968750001,537,0.0023955311100893792,,
509.0833333333333,42662,42763,1.4308052062988281,0.7099792957305908,0.006492507178336382,-0.8560523390769958,76,84,-107.9871639761905,559,0.0023955311100893792,,
558.6704545454545,49062,49163,2.9085566997528076,1.220280408859253,0.004049906972795725,1.5404505729675293,76,88,-103.46214788636362,640,0.0023955311100893792,,
,49899,50000,1.7530666589736938,0.3812462091445923,0.003264765255153179,-1.7271950244903564,,,,,0.0023955311100893792,-101.75178780197166,97.2
