rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
90.5,261,362,-6.147478103637695,159.1837615966797,0.9783998727798462,-0.1443840116262436,102,4,-102.49724875,3,8.404268788466463e-05,,
89.5,615,716,-8.04348087310791,69.82249450683594,0.9497811794281006,-0.34230127930641174,88,8,-107.20812575,8,8.404268788466463e-05,,
217.0,2503,2604,-20.218381881713867,6.760175704956055,0.8123883605003357,-1.2899366617202759,79,12,-105.82491183333333,32,8.404268788466463e-05,,
261.3125,4080,4181,-25.895742416381836,42.46287155151367,0.7118912935256958,-2.146230459213257,79,16,-112.6457773125,52,8.404268788466463e-05,,
226.35,4426,4527,-29.025917053222656,2.797323226928711,0.6915536522865295,-2.372035503387451,79,20,-110.46774340000002,57,8.404268788466463e-05,,
284.375,6724,6825,-35.011512756347656,3.51188063621521,0.5711758136749268,-3.477956771850586,78,24,-117.474324375,86,8.404268788466463e-05,,
294.7142857142857,8151,8252,-34.445133209228516,3.104781150817871,0.5073422193527222,-4.083592891693115,78,28,-118.47890285714287,105,8.404268788466463e-05,,
266.65625,8432,8533,-35.755245208740234,2.9778833389282227,0.49561524391174316,-4.244861125946045,78,32,-116.47714806249999,108,8.404268788466463e-05,,
,9899,10000,-31.954315185546875,3.415410280227661,0.43869441747665405,-4.901538848876953,,,,,8.404268788466463e-05,-103.64954171117861,119.0
