rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
93.25,272,373,-3.2611489295959473,142.48936462402344,0.9963030815124512,-0.024944216012954712,93,4,-112.43229025,3,1.3640944881500002e-05,,
585.375,4582,4683,-47.760154724121094,31.077098846435547,0.9397748112678528,-0.40199142694473267,77,8,-109.058021625,60,1.3640944881500002e-05,,
415.75,4888,4989,-52.05465316772461,2.635756015777588,0.9358789920806885,-0.42881250381469727,77,12,-109.77010483333333,64,1.3640944881500002e-05,,
337.0625,5292,5393,-57.8197135925293,105.2559585571289,0.9307793974876404,-0.45575976371765137,77,16,-110.5816308125,69,1.3640944881500002e-05,,
287.1,5641,5742,-61.4887809753418,48.53392791748047,0.9263806343078613,-0.4909300208091736,77,20,-111.17329319999999,74,1.3640944881500002e-05,,
249.95833333333334,5898,5999,-64.58527374267578,3.2933077812194824,0.9231497645378113,-0.5209347605705261,77,24,-111.10640241666665,77,1.3640944881500002e-05,,
225.10714285714286,6202,6303,-67.36521911621094,43.079803466796875,0.9193368554115295,-0.5373530387878418,77,28,-111.494051,81,1.3640944881500002e-05,,
208.25,6563,6664,-70.13595581054688,124.45128631591797,0.9148204326629639,-0.5789027810096741,77,32,-111.78225659374999,86,1.3640944881500002e-05,,
237.02777777777777,8432,8533,-84.04129791259766,168.9954833984375,0.8917884826660156,-0.7399210929870605,76,36,-110.0932368611111,110,1.3640944881500002e-05,,
,9899,10000,-96.05677795410156,4.718293190002441,0.8742219805717468,-0.8490462303161621,,,,,1.3640944881500002e-05,-116.99374063713476,113.4
