rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
451.75,1706,1807,-21.652692794799805,0.8441076278686523,0.966124951839447,-0.23081359267234802,81,4,-96.68911025,22,2.023961281635523e-05,,
641.75,5033,5134,-68.68553924560547,0.9845132231712341,0.903389036655426,-0.6723753809928894,79,8,-97.90136712500001,64,2.023961281635523e-05,,
580.9166666666666,6870,6971,-90.20643615722656,22.666561126708984,0.870600163936615,-0.9111052751541138,78,12,-98.63247825000002,88,2.023961281635523e-05,,
451.4375,7122,7223,-92.48471069335938,1.9352869987487793,0.8661808371543884,-0.9443178176879883,78,16,-99.19583474999999,91,2.023961281635523e-05,,
,9899,10000,-120.57074737548828,17.214618682861328,0.8190526366233826,-1.2862436771392822,,,,,2.023961281635523e-05,-30.146669677039608,1600.0
681.15,13522,13623,-151.26849365234375,3.4591801166534424,0.7612360119819641,-1.7513840198516846,74,20,-99.06369799999999,182,2.023961281635523e-05,,
770.5,18391,18492,-183.85752868652344,4.933819770812988,0.6898894309997559,-2.4021878242492676,75,24,-98.47248366666668,244,2.023961281635523e-05,,
,19899,20000,-192.12094116210938,5.148128509521484,0.66921067237854,-2.556786298751831,,,,,2.023961281635523e-05,-47.171180779486896,1600.0
889.0,24791,24892,-207.1547088623047,5.458157539367676,0.6063212156295776,-3.158139705657959,74,28,-96.49294514285715,335,2.023961281635523e-05,,
931.125,29695,29796,-217.76866149902344,8.262280464172363,0.5493618249893188,-3.6423096656799316,74,32,-96.2957479375,400,2.023961281635523e-05,,
,29899,30000,-219.28929138183594,22.61189842224121,0.547112226486206,-3.694835662841797,,,,,2.023961281635523e-05,-36.23624871675857,1600.0
963.1388888888889,34572,34673,-226.45501708984375,9.166450500488281,0.49810323119163513,-4.051470756530762,73,36,-96.20603763888889,472,2.023961281635523e-05,,
,39899,40000,-229.05490112304688,9.363828659057617,0.4475795030593872,-4.489933013916016,,,,,2.023961281635523e-05,-54.87277515954338,1600.0
1026.825,40972,41073,-227.05523681640625,10.724620819091797,0.4380464553833008,-4.5411834716796875,72,40,-94.385898825,563,2.023961281635523e-05,,
972.9772727272727,42710,42811,-226.05535888671875,9.390558242797852,0.42302384972572327,-4.636220932006836,73,44,-95.66208395454547,585,2.023961281635523e-05,,
1025.2291666666667,49110,49211,-220.08889770507812,10.725706100463867,0.37191569805145264,-5.143073558807373,73,48,-95.2217195,669,2.023961281635523e-05,,
,49899,50000,-219.7764434814453,16.37454605102539,0.36605215072631836,-5.257559299468994,,,,,2.023961281635523e-05,-27.053605087078175,1600.0
