rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
635.5,2441,2542,-48.55919647216797,1.1801332235336304,0.821450412273407,-1.2853789329528809,80,4,-116.70456425,31,8.141376409986608e-05,,
464.5,3615,3716,-69.5269546508789,1.9212093353271484,0.746853232383728,-1.8555870056152344,80,8,-119.578394,46,8.141376409986608e-05,,
614.75,7276,7377,-132.314453125,10.422685623168945,0.5582578778266907,-3.3498902320861816,78,12,-126.77262466666666,93,8.141376409986608e-05,,
,9899,10000,-159.11477661132812,13.193151473999023,0.45342522859573364,-4.127845764160156,,,,,8.141376409986608e-05,-112.96938775819726,74.2
642.8125,10184,10285,-161.2793426513672,9.41999626159668,0.4434753656387329,-4.224913120269775,78,16,-129.14917506249998,131,8.141376409986608e-05,,
720.4,14307,14408,-195.44793701171875,12.582117080688477,0.3218710422515869,-5.04798698425293,77,20,-134.69033419999997,185,8.141376409986608e-05,,
740.9166666666666,17681,17782,-207.42066955566406,11.45148754119873,0.24641607701778412,-5.746520519256592,77,24,-130.23910745833334,229,8.141376409986608e-05,,
,19899,20000,-211.728271484375,11.645120620727539,0.2074241191148758,-5.669081687927246,,,,,8.141376409986608e-05,-116.93070883713662,86.2
