rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
79.0,215,316,-5.054845809936523,115.0450210571289,0.9865849018096924,-0.08966280519962311,105,4,-102.740794,2,6.318164326333559e-05,,
83.5,567,668,-5.024980545043945,68.1797103881836,0.965206503868103,-0.2281394898891449,87,8,-109.835354375,7,6.318164326333559e-05,,
89.75,976,1077,-5.217774868011475,62.95978546142578,0.9410110116004944,-0.39604800939559937,83,12,-110.05940483333335,12,6.318164326333559e-05,,
279.375,4369,4470,-9.940105438232422,13.664863586425781,0.7599354386329651,-1.7579467296600342,78,16,-107.4132513125,57,6.318164326333559e-05,,
391.2,7723,7824,-15.519776344299316,2.414525032043457,0.6147512197494507,-3.0835423469543457,77,20,-107.84169689999999,100,6.318164326333559e-05,,
358.9166666666667,8513,8614,-16.363168716430664,19.02473258972168,0.584783136844635,-3.4400951862335205,77,24,-108.765329,111,6.318164326333559e-05,,
,9899,10000,-17.898942947387695,1.500732421875,0.5358914136886597,-3.9846575260162354,,,,,6.318164326333559e-05,-96.46913888119161,103.4
