rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
68.5,173,274,-2.8966166973114014,181.19859313964844,0.9976851940155029,-0.015574398450553417,117,4,-107.1306355,2,1.345286913217874e-05,,
640.0,5019,5120,-14.951533317565918,20.646303176879883,0.9347612261772156,-0.4509023129940033,79,8,-97.83936324999999,64,1.345286913217874e-05,,
579.9166666666666,6858,6959,-19.294464111328125,0.44601351022720337,0.911930501461029,-0.6161006093025208,79,12,-100.57917566666667,87,1.345286913217874e-05,,
,9899,10000,-27.341598510742188,0.6310086250305176,0.8753987550735474,-0.8871450424194336,,,,,1.345286913217874e-05,-109.4701394067146,164.0
